Date,spx_previous_close,spx_open,spx_high,spx_low,spx_close,dxy_open,vix_open,es_future_open,tnx_open
2023-01-04,3824.139892578125,3840.360107421875,3873.159912109375,3815.77001953125,3852.969970703125,104.58000183105469,22.93000030517578,3842.75,3.677000045776367
2023-01-05,3852.969970703125,3839.739990234375,3839.739990234375,3802.419921875,3808.10009765625,104.06999969482422,22.200000762939453,3871.0,3.7279999256134033
2023-01-06,3808.10009765625,3823.3701171875,3906.18994140625,3809.56005859375,3895.080078125,105.05000305175781,22.690000534057617,3833.0,3.746000051498413
2023-01-09,3895.080078125,3910.820068359375,3950.570068359375,3890.419921875,3892.090087890625,103.91000366210938,21.75,3918.5,3.5889999866485596
2023-01-10,3892.090087890625,3888.570068359375,3919.830078125,3877.2900390625,3919.25,103.29000091552734,22.219999313354492,3914.5,3.578000068664551
2023-01-11,3919.25,3932.35009765625,3970.070068359375,3928.5400390625,3969.610107421875,103.22000122070312,20.799999237060547,3941.0,3.569000005722046
2023-01-12,3969.610107421875,3977.570068359375,3997.760009765625,3937.56005859375,3983.169921875,103.05999755859375,21.559999465942383,3991.75,3.503999948501587
2023-01-13,3983.169921875,3960.60009765625,4003.949951171875,3947.669921875,3999.090087890625,102.20999908447266,19.0,4003.0,3.489000082015991
2023-01-17,3999.090087890625,3999.280029296875,4015.389892578125,3984.570068359375,3990.969970703125,102.31999969482422,19.889999389648438,4020.0,3.575000047683716
2023-01-18,3990.969970703125,4002.25,4014.159912109375,3926.590087890625,3928.860107421875,102.47000122070312,19.280000686645508,4008.5,3.4630000591278076
2023-01-19,3928.860107421875,3911.840087890625,3922.93994140625,3885.5400390625,3898.85009765625,102.37999725341797,20.43000030517578,3945.25,3.3970000743865967
2023-01-20,3898.85009765625,3909.0400390625,3972.9599609375,3897.860107421875,3972.610107421875,102.08000183105469,20.280000686645508,3925.0,3.441999912261963
2023-01-23,3972.610107421875,3978.139892578125,4039.31005859375,3971.639892578125,4019.81005859375,101.98999786376953,20.209999084472656,3987.0,3.503000020980835
2023-01-24,4019.81005859375,4001.739990234375,4023.919921875,3989.7900390625,4016.949951171875,101.98999786376953,19.889999389648438,4036.5,3.513000011444092
2023-01-25,4016.949951171875,3982.7099609375,4019.550048828125,3949.06005859375,4016.219970703125,102.01000213623047,19.559999465942383,4039.0,3.434000015258789
2023-01-26,4016.219970703125,4036.080078125,4061.570068359375,4013.2900390625,4060.429931640625,101.58000183105469,19.049999237060547,4031.0,3.490999937057495
2023-01-27,4060.429931640625,4053.719970703125,4094.2099609375,4048.699951171875,4070.56005859375,101.72000122070312,18.899999618530273,4065.0,3.5439999103546143
